fold,validation_rows,validation_holes,accuracy,balanced_accuracy,roc_auc,precision_A,recall_A,f1_A
1,754,29,0.7625994694960212,0.7312250446011384,0.8076735196669782,0.9017341040462428,0.785234899328859,0.8394618834080717
2,725,25,0.8082758620689655,0.7870071105365223,0.8616289592760181,0.9384615384615385,0.8201680672268907,0.8753363228699551
3,977,24,0.7911975435005117,0.8182234128301171,0.9084206533592526,0.9361702127659575,0.7389312977099237,0.825938566552901
4,948,22,0.8132911392405063,0.8086661135899909,0.890315926366062,0.8072727272727273,0.8621359223300971,0.8338028169014085
5,600,23,0.835,0.757,0.85002,0.9238900634249472,0.874,0.8982528263103803
